,time,ticker,abnormal_return,y,volatility,reaction_positive,reaction_negative,volume_adi,volume_mfi,volatility_atr,trend_sma_slow,trend_macd,momentum_rsi,momentum_roc,momentum_ppo,others_dlr,others_cr,risk_factor_pos,risk_factor_neg,risk_factor_polarity,risk_factor_subjectivity,risk_factor_len,item1_pos,item1_neg,item1_polarity,item1_subjectivity,item1_len,item7_pos,item7_neg,item7_polarity,item7_subjectivity,industry_B,industry_C,industry_D,industry_E,industry_F,industry_G,industry_H,industry_I
0,2006,nwpx,0.63592397,1,0.06282182,5,6,-351593.8265,50.35900934,0.792847226,28.37953719,0.178588192,53.10693051,1.249286634,0.585889141,0.090921455,115.6476949,465,247,0.306179775,0.397987702,1789,438,174,0.431372548,0.277173913,2897,690,218,0.519823788,0.313427684,0,0,1,0,0,0,0,0
1,2007,nwpx,0.026141575,1,0.147783741,5,6,-1440435.976,57.28055285,1.412615893,35.65404992,0.098563119,51.76688106,0.861268178,0.26217684,0.060567271,169.4172881,454,236,0.315942029,0.398613518,1731,441,178,0.424878836,0.276957494,2630,638,220,0.487179487,0.326235741,0,0,1,0,0,0,0,0
2,2008,nwpx,-0.762774749,0,0.180492857,3,8,-1414003.283,53.84411542,2.589619951,43.18048497,-0.106459634,52.45881662,1.131070737,-0.514644115,0.033574718,223.662843,468,235,0.331436699,0.399431818,1760,354,139,0.436105476,0.268518518,2618,599,205,0.490049751,0.30710466,0,0,1,0,0,0,0,0
3,2010,nwpx,0.210230594,1,0.075963104,10,1,-4214261.809,50.94700484,0.922209141,21.28177501,-0.128361549,48.55447195,-0.209446918,-0.584321022,-0.044180609,58.65084822,823,388,0.359207266,0.369207317,3280,362,136,0.45381526,0.260732984,3246,746,298,0.429118774,0.321626617,0,0,1,0,0,0,0,0
4,2011,nwpx,-0.013294852,0,0.161627403,6,5,-4860405.781,49.96121015,1.204678731,24.12765413,0.026655951,50.79248244,0.48992542,0.078676472,-0.019807299,81.37424429,788,381,0.348160821,0.361695544,3232,388,142,0.464150943,0.269857434,3271,759,253,0.5,0.309385509,0,0,1,0,0,0,0,0
5,2012,nwpx,-0.414499828,0,0.173856734,8,3,-4409883.833,52.12491212,0.871314739,23.03604156,-0.046392114,49.03246846,-0.102969454,-0.237120107,0.017125903,72.52711726,729,375,0.320652174,0.374110471,2951,364,134,0.461847389,0.262796834,3193,734,259,0.478348439,0.310992797,0,0,1,0,0,0,0,0
6,2013,nwpx,-1.3613488,0,0.256716377,4,7,-3753471.561,56.38112094,0.879565301,28.85736413,0.416383422,56.38864943,2.590734217,1.411885856,0.18216145,122.3793353,650,327,0.330603889,0.381789761,2559,367,136,0.459244532,0.257948718,3494,818,345,0.406706792,0.332856325,0,0,1,0,0,0,0,0
7,2014,nwpx,-0.367618857,0,0.334595874,3,8,-3458730.922,46.84561335,1.066331685,35.64273811,-0.166443658,46.88367377,-1.029986378,-0.5110723,-0.089706693,164.9481748,617,303,0.341304347,0.383653044,2398,416,158,0.449477351,0.272684085,3276,823,340,0.415305245,0.355006105,0,0,1,0,0,0,0,0
8,2015,nwpx,0.667316118,1,0.152433179,6,5,-4247998.304,39.19148984,0.824670889,19.83192005,-0.537976172,40.56298745,-4.330954793,-2.836524484,-0.392924185,42.02979772,643,324,0.329886246,0.384187525,2517,386,155,0.42698706,0.263132296,3577,897,406,0.376822717,0.364271736,0,0,1,0,0,0,0,0
9,2016,nwpx,0.595189818,1,0.108364262,3,8,-4901443.73,57.21930867,0.549622719,11.12568988,0.147457821,54.74576869,2.673558172,0.955195645,0.171051974,-14.05465771,632,323,0.323560209,0.382305845,2498,397,143,0.470370369,0.254596888,3098,746,388,0.315696649,0.366042608,0,0,1,0,0,0,0,0
10,2017,nwpx,0.247240064,1,0.093951396,6,5,-2576772.776,51.22904226,0.672684497,16.79052099,0.036791766,50.75088991,0.77638231,0.157649792,0.042115098,26.56570893,574,310,0.298642534,0.393588602,2246,378,145,0.445506691,0.258654797,2705,678,307,0.376649746,0.36414048,0,0,1,0,0,0,0,0
11,2018,nwpx,0.458714698,1,0.404327515,7,4,-2195993.717,52.22376798,0.7911561,19.74419705,0.121430829,52.12489068,1.394234712,0.555549117,0.078184769,50.00194093,631,337,0.303719008,0.378420641,2558,407,151,0.458781361,0.259173247,3041,771,288,0.456090651,0.34824071,0,0,1,0,0,0,0,0
12,2019,nwpx,-0.055264773,0,0.319511969,3,8,-1186965.549,54.38175199,0.895770489,25.88051281,0.298685137,55.15772155,2.072489274,1.054339134,0.141997449,98.46188543,633,325,0.321503131,0.375097886,2554,393,152,0.442201834,0.264306498,2770,687,234,0.491856677,0.332490975,0,0,1,0,0,0,0,0
13,2010,ths,-0.113176252,0,0.075963104,6,5,7633916.673,55.17105749,1.003295266,44.65308614,0.420809308,56.99211723,1.778910786,0.949470558,0.108580685,53.15479746,309,182,0.258655804,0.39757085,1235,436,93,0.648393193,0.273102736,4632,1113,447,0.426923077,0.336787565,0,0,1,0,0,0,0,0
14,2006,ths,0.4507338,1,0.06282182,3,8,-2372854.312,55.3651971,0.603453639,24.46044441,0.310251197,56.91481653,2.750863747,1.176833742,0.203516209,-15.34878906,227,145,0.220430107,0.368316831,1010,462,73,0.727102802,0.254036087,3182,714,346,0.347169811,0.333123821,0,0,1,0,0,0,0,0
15,2007,ths,0.871956073,1,0.147783741,7,4,-2053294.655,45.82865215,0.956314522,27.83941462,-0.193210095,46.70417623,-1.171617883,-0.739570939,-0.121656889,-7.478482976,346,212,0.240143369,0.392405063,1422,514,76,0.74237288,0.257641921,3260,750,337,0.379944802,0.333435583,0,0,1,0,0,0,0,0
16,2011,ths,0.088282797,1,0.161627403,5,6,14630377.34,53.28839806,1.278021637,55.90574173,0.350828302,53.27029671,1.114955905,0.593502764,0.097868085,90.67440479,334,197,0.258003766,0.407521105,1303,396,91,0.626283366,0.277177006,4418,1055,428,0.422791638,0.33567225,0,0,1,0,0,0,0,0
17,2012,ths,0.15374334,1,0.173856734,5,6,18250432.8,50.13279762,1.19361235,56.5150662,-0.324273911,47.16187635,-0.93813743,-0.582847738,-0.090590296,88.43467376,352,199,0.27767695,0.408753709,1348,451,121,0.576923076,0.270961629,5052,1202,481,0.428401663,0.333135392,0,0,1,0,0,0,0,0
18,2013,ths,0.192990341,1,0.256716377,7,4,20053962.47,54.85721467,1.24243849,64.34246529,0.488819106,56.05527616,1.464118365,0.792024163,0.110795939,119.8883845,369,216,0.261538461,0.415778251,1407,425,111,0.585820894,0.27402863,5029,1259,490,0.439679817,0.347782859,0,0,1,0,0,0,0,0
19,2014,ths,-0.058358808,0,0.334595874,7,4,24401887.39,52.33490792,1.653486901,75.63014977,0.391252085,53.90289816,1.162897794,0.502612698,0.085682854,157.8152559,400,244,0.242236024,0.420091324,1533,456,120,0.583333332,0.27311522,6460,1598,609,0.448119619,0.341640867,0,0,1,0,0,0,0,0
20,2015,ths,-0.838312032,0,0.152433179,10,1,31839972.92,47.59086856,1.95375163,81.95758719,-0.028995902,49.13710141,-0.212213874,-0.059026549,-0.0342374,175.6765481,479,276,0.268874172,0.423443634,1783,447,112,0.599284435,0.267080745,6670,1631,641,0.435739436,0.340629685,0,0,1,0,0,0,0,0
21,2016,ths,-0.337571525,0,0.108364262,6,5,46098014.48,51.55547022,1.926382954,86.71661152,-0.286757717,49.37837891,-0.150151635,-0.423782262,-0.033050541,191.0103353,550,310,0.279069767,0.416666666,2064,496,124,0.599999999,0.25193011,7743,1871,736,0.435366321,0.336691205,0,0,1,0,0,0,0,0
